,circuito,localidad,local,accesibilidad,tipo,depto,serie,desde,hasta,ap,avp,ca,pc,pca,peri,fa,is,pi,pn,pcn,core
0,1,,DIRECCIÓN GENERAL FORESTAL M.G.A.P.-CERRITO 318 ESQ. COLÓN,NO,,Montevideo,AAA,1.0,7008.0,0.010101010101010102,0.0,0.016835016835016835,0.14814814814814814,0.0,0.006734006734006734,0.4713804713804714,0.02356902356902357,0.030303030303030304,0.29292929292929293,0.0,0.4882154882154882
1,1,CANELONES,"LICEO N° 1 TOMÁS BERRETA-TREINTA Y TRES 430 ESO, JOAQUÍN SUÁREZ",SÍ,URBANO,Canelones,CAA,1.0,16122.0,0.00966183574879227,0.0,0.028985507246376812,0.2222222222222222,0.0,0.0,0.2898550724637681,0.004830917874396135,0.00966183574879227,0.43478260869565216,0.0,0.6956521739130435
2,1,MALDONADO,CASA DE LA CULTURA-PÉREZ DEL PUERTO 745 ESQ. ROMÁN GUERRA,SÍ,URBANO,Maldonado,DAA,1.0,11250.0,0.0,0.0,0.022900763358778626,0.2480916030534351,0.0,0.003816793893129771,0.14885496183206107,0.007633587786259542,0.003816793893129771,0.5648854961832062,0.0,0.8396946564885497
3,1,ROCHA,COLEGIO SAN JOSÉ-RAMÍREZ 203,SÍ,URBANO,Rocha,EAA,1.0,24053.0,0.0,0.0,0.0379746835443038,0.25316455696202533,0.0,0.0,0.24050632911392406,0.012658227848101266,0.008438818565400843,0.4472573839662447,0.0,0.7468354430379747
4,1,TREINTA Y TRES,ESCUELA TÉCNICA N° 2-JUAN ANTONIO LAVALLEJA S/N,SÍ,URBANO,Treinta y Tres,FAA,1.0,21705.0,0.0,0.0,0.04784688995215311,0.19617224880382775,0.0,0.0,0.23923444976076555,0.019138755980861243,0.0,0.49760765550239233,0.0,0.7416267942583732
5,1,MELO,"INSTITUTO DE FORMACIÓN DOCENTE -APARICIO SARAVIA 441 ESO, GRAL. ARTIGAS",SÍ,URBANO,Cerro Largo,GAA,1.0,5414.0,0.0,0.0,0.01892744479495268,0.15772870662460567,0.012618296529968454,0.006309148264984227,0.2996845425867508,0.006309148264984227,0.01892744479495268,0.4668769716088328,0.012618296529968454,0.6750788643533123
6,1,RIVERA,"ESCUELA N° 8 -ESCUELA N° 8 , DR. ANOLLÉS Y FIGUEROA S/N",SÍ,URBANO,Rivera,HAA,1.0,10090.0,0.0,0.0,0.056910569105691054,0.4024390243902439,0.0,0.02032520325203252,0.18699186991869918,0.012195121951219513,0.012195121951219513,0.3048780487804878,0.0040650406504065045,0.7764227642276422
7,1,ESTIVA,ESCUELA 67-,SÍ,RURAL,Artigas,IAA,1.0,4194.0,0.0,0.0,0.06417112299465241,0.33689839572192515,0.0053475935828877,0.0,0.1443850267379679,0.0106951871657754,0.0,0.4385026737967914,0.0,0.8449197860962567
8,1,SALTO,CLÍNICA MUNICIPAL-ARTIGAS 377,NO,URBANO,Salto,JAA,1.0,6182.0,0.0,0.0033783783783783786,0.05405405405405406,0.17229729729729729,0.0033783783783783786,0.0,0.3581081081081081,0.006756756756756757,0.02364864864864865,0.3783783783783784,0.0,0.6317567567567568
9,1,PAYSANDÚ,LICEO N° 5-SILVÁN FERNÁNDEZ 975 ESQ. FLORIDA,SÍ,URBANO,Paysandú,KAA,1.0,16584.0,0.012195121951219513,0.0,0.012195121951219513,0.1910569105691057,0.008130081300813009,0.008130081300813009,0.3333333333333333,0.008130081300813009,0.008130081300813009,0.4186991869918699,0.0,0.6382113821138211
10,1,FRAY BENTOS,LICEO N° 1 EUGENIO CAPDEVIELLE-ROBERTO YOUNG S/N ESQ. ZORRILLA,SÍ,URBANO,Río Negro,LAA,1.0,16470.0,0.0,0.0,0.03208556149732621,0.20855614973262032,0.0,0.0,0.2887700534759358,0.0,0.0106951871657754,0.45454545454545453,0.0053475935828877,0.7058823529411764
11,1,MERCEDES,"LICEO ""JOSÉ MARIA CAMPOS""-ZAPICÁN 131 ESQ. PAYSANDÚ",SÍ,URBANO,Soriano,MAA,1.0,23949.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.0,0.3684210526315789,0.013157894736842105,0.0,0.3026315789473684,0.0,0.618421052631579
12,1,PASO DE LA HORQUETA,"ESCUELA N° 79 -RUTA 21 KM 201,500",SÍ,RURAL,Colonia,NAA,1.0,1563.0,0.0,0.0,0.041666666666666664,0.27380952380952384,0.0,0.017857142857142856,0.1488095238095238,0.023809523809523808,0.005952380952380952,0.4880952380952381,0.0,0.8095238095238095
13,1,SAN JOSÉ DE MAYO,LICEO N° 3-SORIANO 334 ESQ. MASSINI,SÍ,URBANO,San José,OAA,1.0,4439.0,0.00967741935483871,0.0,0.02258064516129032,0.2161290322580645,0.0,0.0032258064516129032,0.3548387096774194,0.012903225806451613,0.012903225806451613,0.36774193548387096,0.0,0.6193548387096774
14,1,TRINIDAD,ESCUELA N° 3. - DR. LUIS A. DE HERRERA N° 532-DR. LUIS A. DE HERRERA 532,SÍ,URBANO,Flores,PAA,1.0,10288.0,0.0,0.0,0.01048951048951049,0.25524475524475526,0.0,0.0,0.14335664335664336,0.0034965034965034965,0.01048951048951049,0.5769230769230769,0.0,0.8531468531468531
15,1,FLORIDA,CENTRO CULTURAL FLORIDA - MAVEA-URSINO BARREIRO 3418 ESQ. A. MA. FERNÁNDEZ,SÍ,URBANO,Florida,QAA,1.0,21159.0,0.004739336492890996,0.0,0.009478672985781991,0.27488151658767773,0.0,0.0,0.27488151658767773,0.009478672985781991,0.009478672985781991,0.41706161137440756,0.0,0.7109004739336493
16,1,DURAZNO,JARDIN N° 91-BARRIO LACALERA -BATALLA RINCON 739,SÍ,URBANO,Durazno,RAA,1.0,6401.0,0.0,0.0,0.027777777777777776,0.3298611111111111,0.0,0.0,0.2361111111111111,0.013888888888888888,0.010416666666666666,0.3819444444444444,0.0,0.75
17,1,MINAS,BPS-ROOSEVELT 665,SÍ,URBANO,Lavalleja,SAA,1.0,19595.0,0.0,0.0041841004184100415,0.016736401673640166,0.2594142259414226,0.0,0.0,0.20502092050209206,0.0041841004184100415,0.029288702928870293,0.4811715481171548,0.0,0.7866108786610879
18,1,TACUAREMBÓ,ASOCIACIÓN DE JUBILADOS -ITUZAINGÓ 388 ESQ. BALTAZAR BRUM,SÍ,URBANO,Tacuarembó,TAA,1.0,23659.0,0.0,0.004016064257028112,0.04417670682730924,0.26104417670682734,0.0,0.004016064257028112,0.2248995983935743,0.01606425702811245,0.012048192771084338,0.43373493975903615,0.0,0.751004016064257
19,2,,DIRECCIÓN GENERAL FORESTAL M.G.A.P.-CERRITO 318 ESQ. COLÓN,NO,,Montevideo,AAA,7009.0,9329.0,0.006369426751592357,0.0,0.07006369426751592,0.21656050955414013,0.0,0.009554140127388535,0.43312101910828027,0.022292993630573247,0.009554140127388535,0.23248407643312102,0.0,0.5286624203821656
20,2,CANELONES,"LICEO N° 1 TOMÁS BERRETA-TREINTA Y TRES 430 ESO, JOAQUÍN SUÁREZ",SÍ,URBANO,Canelones,CAA,16123.0,18544.0,0.0,0.0,0.010033444816053512,0.23745819397993312,0.0,0.0033444816053511705,0.3745819397993311,0.006688963210702341,0.0033444816053511705,0.36454849498327757,0.0,0.6153846153846154
21,2,MALDONADO,CASA DE LA CULTURA-PÉREZ DEL PUERTO 745 ESQ. ROMÁN GUERRA,SÍ,URBANO,,DAA,11251.0,13886.0,0.0,0.0,0.016181229773462782,0.23624595469255663,0.003236245954692557,0.003236245954692557,0.1553398058252427,0.012944983818770227,0.019417475728155338,0.5533980582524272,0.0,0.8284789644012944
22,2,ROCHA,COLEGIO SAN JOSÉ-L.S. Y SANCHO ESQ. RAMÍREZ,SÍ,URBANO,,EAA,24054.0,27327.0,0.0032679738562091504,0.0,0.02287581699346405,0.2973856209150327,0.0,0.0032679738562091504,0.21895424836601307,0.013071895424836602,0.006535947712418301,0.434640522875817,0.0,0.761437908496732
23,2,TREINTA Y TRES,OSE-MANUEL ORIBE 1489 ESQ. MANUEL MELENDEZ,SÍ,URBANO,,FAA,21706.0,25092.0,0.0,0.0,0.013157894736842105,0.2138157894736842,0.0,0.0,0.24671052631578946,0.019736842105263157,0.003289473684210526,0.5032894736842105,0.0,0.7335526315789473
24,2,MELO,"ESCUELA N° 1-JOSÉ PEDRO VARELA 728 ESO, 18 DE JULIO",NO,URBANO,Cerro Largo,GAA,5415.0,6513.0,0.0,0.0,0.03560830860534125,0.1661721068249258,0.002967359050445104,0.0,0.29376854599406527,0.011869436201780416,0.02373887240356083,0.4540059347181009,0.011869436201780416,0.6824925816023739
25,2,RIVERA,"ESCUELA N° 8 -ESCUELA N° 8 , DR. ANOLLÉS Y FIGUEROA S/N",SÍ,URBANO,,HAA,10091.0,11556.0,0.009708737864077669,0.003236245954692557,0.061488673139158574,0.4045307443365696,0.009708737864077669,0.009708737864077669,0.19741100323624594,0.022653721682847898,0.012944983818770227,0.2686084142394822,0.0,0.7572815533980582
26,2,GUAYUBIRA,ESCUELA 21 - GUAYUBIRA-,SÍ,RURAL,Artigas,IAA,4195.0,4929.0,0.0,0.0,0.049019607843137254,0.19117647058823528,0.004901960784313725,0.0,0.23529411764705882,0.014705882352941176,0.0,0.5049019607843137,0.0,0.75
27,2,SALTO,ESC. DE ADM. Y SERVICIOS-JUAN C. GÓMEZ 351 ESQ. CERVANTES,SÍ,URBANO,,JAA,6183.0,7177.0,0.0,0.0,0.026865671641791045,0.2656716417910448,0.008955223880597015,0.0029850746268656717,0.30149253731343284,0.014925373134328358,0.01791044776119403,0.3522388059701492,0.008955223880597015,0.6716417910447761
28,2,PAYSANDÚ,LICEO N° 5-SILVÁN FERNÁNDEZ 975 ESQ. FLORIDA,SÍ,URBANO,,KAA,16585.0,18944.0,0.006535947712418301,0.0,0.00980392156862745,0.21895424836601307,0.00980392156862745,0.0,0.3235294117647059,0.006535947712418301,0.00980392156862745,0.40522875816993464,0.00980392156862745,0.6535947712418301
